problem,method,iterations,f_evals,grad_evals,cpu_seconds,status
quad_10_10,GradientDescent,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_10,GradientDescent,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_10,ModifiedNewton,,,,,fail: ValueError('Input must be 1- or 2-d.')
quad_10_10,ModifiedNewton,,,,,fail: ValueError('Input must be 1- or 2-d.')
quad_10_10,TRNewtonCG,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_10,TRSR1CG,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_10,BFGS,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_10,BFGS,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_10,DFP,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_10,DFP,,,,,fail: ValueError('The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()')
quad_10_1000,GradientDescent,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,GradientDescent,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,ModifiedNewton,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,ModifiedNewton,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,TRNewtonCG,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,TRSR1CG,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,BFGS,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,BFGS,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,DFP,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_10_1000,DFP,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,GradientDescent,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,GradientDescent,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,ModifiedNewton,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,ModifiedNewton,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,TRNewtonCG,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,TRSR1CG,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,BFGS,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,BFGS,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,DFP,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_10,DFP,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_1000,GradientDescent,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_1000,GradientDescent,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_1000,ModifiedNewton,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_1000,ModifiedNewton,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_1000,TRNewtonCG,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_1000,TRSR1CG,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
quad_1000_1000,BFGS,,,,,"fail: FileNotFoundError(2, 'No such file or directory')"
